term,department,course,section,class_number,mode_of_instruction,course_title,satisfies,units,class_type,days,times,instructor,location,dates,open_seats,notes
,SOCI,116,80,28017,Fully Online,Global Society,,3,LEC,TBA,TBA,Liz Roberts,ONLINE,01/24/24-05/13/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SOCI,118,80,28012,Fully Online,Sociology of Human Rights and Social Justice,,3,LEC,TBA,TBA,Roni Abusaad,ONLINE,01/24/24-05/13/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SOCI,127,02,29761,In Person,Community-Based Participatory Research,,3,LEC,T,03:00PM-05:45PM,Jesse Williamson,CL243,01/24/24-05/13/24,8,
,SOCI,142,01,26879,In Person,Critical Native American Studies,,3,LEC,TR,01:30PM-02:45PM,Kerri Malloy,DMH162,01/24/24-05/13/24,15,
,SOCI,145,01,29221,In Person,Community Mental Health,,3,LEC,W,06:00PM-08:45PM,Tiffany Simpson,YUH243,01/24/24-05/13/24,36,RC - Requires department release of permission number.
,SOCI,145,02,29222,In Person,Community Mental Health,,3,LEC,T,03:00PM-05:45PM,Robert Rinck,CL302,01/24/24-05/13/24,38,
,SOCI,145,03,29223,In Person,Community Mental Health,,3,LEC,R,03:00PM-05:45PM,Robert Rinck,YUH243,01/24/24-05/13/24,39,RC - Requires department release of permission number.
,SOCI,151,01,26864,In Person,Violence in the Family,,3,LEC,TR,09:00AM-10:15AM,Jesi Faust,DMH226A,01/24/24-05/13/24,0,PV - Prerequisite courses required. See course description.
,SOCI,162,01,27731,In Person,Race and Ethnic Relations,GE: S,3,LEC,MW,12:00PM-01:15PM,William Armaline,CL224,01/24/24-05/13/24,0,
,SOCI,163,80,28013,Fully Online,Social Change,,3,LEC,TBA,TBA,Aida Mukharesh,ONLINE,01/24/24-05/13/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SOCI,165,01,26863,In Person,"Poverty, Wealth and Privilege",,3,LEC,W  TBA,W  01:30PM-02:45PM   TBA  TBA,Megan Thiele Strong / Megan Thiele Strong,DMH226A,01/24/24-05/13/24,0,
,SOCI,166,80,28006,Fully Online,Medical Sociology,,3,LEC,TBA,TBA,Morgan Sanchez,ONLINE,01/24/24-05/13/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SOCI,169,80,28043,Fully Online,Political Sociology,,3,LEC,TBA,TBA,Preston Rudy,ONLINE,01/24/24-05/13/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SOCI,171,01,26869,In Person,Person and Society,,3,LEC,MW,10:30AM-11:45AM,Liz Roberts,DMH226A,01/24/24-05/13/24,11,
,SOCI,172,01,27973,In Person,"Lesbian, Gay, Bi, Transgender Studies",,3,LEC,TR,10:30AM-11:45AM,Jesi Faust,DMH231,01/24/24-05/13/24,1,
,SOCI,173,01,26872,In Person,Socialization and Identity,,3,LEC,MW,04:30PM-05:45PM,Stephen Morewitz,DMH226A,01/24/24-05/13/24,12,
,SOCI,174,02,26876,In Person,Sexualities,,3,LEC,TR,04:30PM-05:45PM,Bianca Hernandez,DMH231,01/24/24-05/13/24,3,
,SOCI,178,01,26861,Fully Online,Sociology of Childhood,,3,LEC,TBA,TBA,Elizabeth Sweet,ONLINE,01/24/24-05/13/24,0,PV - Prerequisite courses required. See course description.  FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SOCI,180,80,27699,Fully Online,Individual Studies,,1,SUP,TBA,TBA,Staff,ONLINE,01/24/24-05/13/24,36,RO - Not available to Open University students.  FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SOCI,180,81,27700,Fully Online,Individual Studies,,2,SUP,TBA,TBA,Staff,ONLINE,01/24/24-05/13/24,36,RO - Not available to Open University students.  FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SOCI,180,83,27701,Fully Online,Individual Studies,,3,SUP,TBA,TBA,Staff,ONLINE,01/24/24-05/13/24,36,RO - Not available to Open University students.  FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SOCI,180,84,27702,Fully Online,Individual Studies,,1,SUP,TBA,TBA,Staff,ONLINE,01/24/24-05/13/24,36,RO - Not available to Open University students.  FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SOCI,180,85,27703,Fully Online,Individual Studies,,2,SUP,TBA,TBA,Staff,ONLINE,01/24/24-05/13/24,36,RO - Not available to Open University students.  FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SOCI,180,87,27704,Fully Online,Individual Studies,,3,SUP,TBA,TBA,Staff,ONLINE,01/24/24-05/13/24,36,RO - Not available to Open University students.  FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SOCI,181,80,20310,Fully Online,Service Internship,,1,SUP,TBA,TBA,Staff,ONLINE,01/24/24-05/13/24,2,RO - Not available to Open University students.  FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SOCI,181,81,20311,Fully Online,Service Internship,,2,SUP,TBA,TBA,Staff,ONLINE,01/24/24-05/13/24,2,RO - Not available to Open University students.  FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SOCI,181,82,20312,Fully Online,Service Internship,,3,SUP,TBA,TBA,Staff,ONLINE,01/24/24-05/13/24,2,RO - Not available to Open University students.  FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SOCI,181,83,20590,Fully Online,Service Internship,,3,SUP,TBA,TBA,Staff,ONLINE,01/24/24-05/13/24,2,RO - Not available to Open University students.  FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SOCI,181,85,20313,Fully Online,Service Internship,,4,SUP,TBA,TBA,Staff,ONLINE,01/24/24-05/13/24,1,RO - Not available to Open University students.  FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,SOCI,181B,01,26849,In Person,Sociology Career Capstone,,3,LEC,TR,09:00AM-10:15AM,Preston Rudy,CL234,01/24/24-05/13/24,4,PE - Prereq - Graduating senior status. Must show proof of application for graduation.
,SOCI,181B,02,26853,In Person,Sociology Career Capstone,,3,LEC,MW,03:00PM-04:15PM,William Armaline,DMH226A,01/24/24-05/13/24,0,PE - Prereq - Graduating senior status. Must show proof of application for graduation.
